2025-03-20T18:40:37.626223-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=59, sum[1...59]=1770, Running on core:3
2025-03-20T18:40:37.626474-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=60, sum[1...60]=1830, Running on core:3
2025-03-20T18:40:37.626733-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=61, sum[1...61]=1891, Running on core:3
2025-03-20T18:40:37.626974-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=62, sum[1...62]=1953, Running on core:3
2025-03-20T18:40:37.627211-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=63, sum[1...63]=2016, Running on core:3
2025-03-20T18:40:37.627464-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=64, sum[1...64]=2080, Running on core:3
2025-03-20T18:40:37.627681-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=65, sum[1...65]=2145, Running on core:3
2025-03-20T18:40:37.627886-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=66, sum[1...66]=2211, Running on core:3
2025-03-20T18:40:37.628033-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=67, sum[1...67]=2278, Running on core:3
2025-03-20T18:40:37.628107-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=68, sum[1...68]=2346, Running on core:3
2025-03-20T18:40:37.628262-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=69, sum[1...69]=2415, Running on core:3
2025-03-20T18:40:37.628345-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=70, sum[1...70]=2485, Running on core:3
2025-03-20T18:40:37.628436-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=71, sum[1...71]=2556, Running on core:3
2025-03-20T18:40:37.628526-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=72, sum[1...72]=2628, Running on core:3
2025-03-20T18:40:37.628616-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=73, sum[1...73]=2701, Running on core:3
2025-03-20T18:40:37.628777-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=74, sum[1...74]=2775, Running on core:3
2025-03-20T18:40:37.628863-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=75, sum[1...75]=2850, Running on core:3
2025-03-20T18:40:37.628937-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=76, sum[1...76]=2926, Running on core:3
2025-03-20T18:40:37.629011-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=77, sum[1...77]=3003, Running on core:3
2025-03-20T18:40:37.629088-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=78, sum[1...78]=3081, Running on core:3
2025-03-20T18:40:37.629171-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=79, sum[1...79]=3160, Running on core:3
2025-03-20T18:40:37.629254-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=80, sum[1...80]=3240, Running on core:3
2025-03-20T18:40:37.629362-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=81, sum[1...81]=3321, Running on core:3
2025-03-20T18:40:37.629455-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=82, sum[1...82]=3403, Running on core:3
2025-03-20T18:40:37.629530-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=83, sum[1...83]=3486, Running on core:3
2025-03-20T18:40:37.629601-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=84, sum[1...84]=3570, Running on core:3
2025-03-20T18:40:37.629672-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=85, sum[1...85]=3655, Running on core:3
2025-03-20T18:40:37.629746-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=86, sum[1...86]=3741, Running on core:3
2025-03-20T18:40:37.629815-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=87, sum[1...87]=3828, Running on core:3
2025-03-20T18:40:37.629892-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=88, sum[1...88]=3916, Running on core:3
2025-03-20T18:40:37.629967-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=89, sum[1...89]=4005, Running on core:3
2025-03-20T18:40:37.630045-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=90, sum[1...90]=4095, Running on core:3
2025-03-20T18:40:37.630121-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=91, sum[1...91]=4186, Running on core:3
2025-03-20T18:40:37.630221-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=92, sum[1...92]=4278, Running on core:3
2025-03-20T18:40:37.630314-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=93, sum[1...93]=4371, Running on core:3
2025-03-20T18:40:37.630405-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=94, sum[1...94]=4465, Running on core:3
2025-03-20T18:40:37.630510-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=95, sum[1...95]=4560, Running on core:3
2025-03-20T18:40:37.630590-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=96, sum[1...96]=4656, Running on core:3
2025-03-20T18:40:37.630665-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=97, sum[1...97]=4753, Running on core:3
2025-03-20T18:40:37.630750-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=98, sum[1...98]=4851, Running on core:3
