2025-03-27T14:52:06.878607-04:00 raspberrypi pthread: [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 6.6.74+rpt-rpi-v8 #1 SMP PREEMPT Debian 1:6.6.74-1+rpt1 (2025-01-27) aarch64 GNU/Linux
2025-03-27T14:52:10.303596-04:00 raspberrypi pthread: [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 6.6.74+rpt-rpi-v8 #1 SMP PREEMPT Debian 1:6.6.74-1+rpt1 (2025-01-27) aarch64 GNU/Linux
2025-03-27T14:52:23.492639-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=71, sum[0...71]=2556, running on CPU=3
2025-03-27T14:52:23.831127-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=72, sum[0...72]=2628, running on CPU=3
2025-03-27T14:52:24.173296-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=73, sum[0...73]=2701, running on CPU=3
2025-03-27T14:52:24.573367-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=74, sum[0...74]=2775, running on CPU=3
2025-03-27T14:52:24.924487-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=75, sum[0...75]=2850, running on CPU=3
2025-03-27T14:52:25.329766-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=76, sum[0...76]=2926, running on CPU=3
2025-03-27T14:52:25.690000-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=77, sum[0...77]=3003, running on CPU=3
2025-03-27T14:52:26.054604-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=78, sum[0...78]=3081, running on CPU=3
2025-03-27T14:52:26.472494-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=79, sum[0...79]=3160, running on CPU=3
2025-03-27T14:52:26.846339-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=80, sum[0...80]=3240, running on CPU=3
2025-03-27T14:52:27.224729-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=81, sum[0...81]=3321, running on CPU=3
2025-03-27T14:52:27.655932-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=82, sum[0...82]=3403, running on CPU=3
2025-03-27T14:52:28.042572-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=83, sum[0...83]=3486, running on CPU=3
2025-03-27T14:52:28.483902-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=84, sum[0...84]=3570, running on CPU=3
2025-03-27T14:52:28.879563-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=85, sum[0...85]=3655, running on CPU=3
2025-03-27T14:52:29.328951-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=86, sum[0...86]=3741, running on CPU=3
2025-03-27T14:52:29.733618-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=87, sum[0...87]=3828, running on CPU=3
2025-03-27T14:52:30.142729-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=88, sum[0...88]=3916, running on CPU=3
2025-03-27T14:52:30.606137-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=89, sum[0...89]=4005, running on CPU=3
2025-03-27T14:52:31.023982-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=90, sum[0...90]=4095, running on CPU=3
2025-03-27T14:52:31.495398-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=91, sum[0...91]=4186, running on CPU=3
2025-03-27T14:52:31.922526-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=92, sum[0...92]=4278, running on CPU=3
2025-03-27T14:52:32.407973-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=93, sum[0...93]=4371, running on CPU=3
2025-03-27T14:52:32.843131-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=94, sum[0...94]=4465, running on CPU=3
2025-03-27T14:52:33.332566-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=95, sum[0...95]=4560, running on CPU=3
2025-03-27T14:52:33.777731-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=96, sum[0...96]=4656, running on CPU=3
2025-03-27T14:52:34.226774-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=97, sum[0...97]=4753, running on CPU=3
2025-03-27T14:52:34.729601-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=98, sum[0...98]=4851, running on CPU=3
2025-03-27T14:52:35.187603-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=99, sum[0...99]=4950, running on CPU=3
2025-03-27T14:52:35.699533-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=100, sum[0...100]=5050, running on CPU=3
2025-03-27T14:52:36.166717-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=101, sum[0...101]=5151, running on CPU=3
2025-03-27T14:52:36.687566-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=102, sum[0...102]=5253, running on CPU=3
2025-03-27T14:52:37.162905-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=103, sum[0...103]=5356, running on CPU=3
2025-03-27T14:52:37.693346-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=104, sum[0...104]=5460, running on CPU=3
2025-03-27T14:52:38.177947-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=105, sum[0...105]=5565, running on CPU=3
2025-03-27T14:52:38.716608-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=106, sum[0...106]=5671, running on CPU=3
2025-03-27T14:52:39.209631-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=107, sum[0...107]=5778, running on CPU=3
2025-03-27T14:52:39.757912-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=108, sum[0...108]=5886, running on CPU=3
2025-03-27T14:52:40.309932-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=109, sum[0...109]=5995, running on CPU=3
2025-03-27T14:52:40.816949-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=110, sum[0...110]=6105, running on CPU=3
2025-03-27T14:52:41.381202-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=111, sum[0...111]=6216, running on CPU=3
2025-03-27T14:52:41.897533-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=112, sum[0...112]=6328, running on CPU=3
2025-03-27T14:52:42.467353-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=113, sum[0...113]=6441, running on CPU=3
2025-03-27T14:52:42.992029-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=114, sum[0...114]=6555, running on CPU=3
2025-03-27T14:52:43.570131-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=115, sum[0...115]=6670, running on CPU=3
2025-03-27T14:52:44.104408-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=116, sum[0...116]=6786, running on CPU=3
2025-03-27T14:52:44.691948-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=117, sum[0...117]=6903, running on CPU=3
2025-03-27T14:52:45.234613-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=118, sum[0...118]=7021, running on CPU=3
2025-03-27T14:52:45.830746-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=119, sum[0...119]=7140, running on CPU=3
2025-03-27T14:52:46.432233-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=120, sum[0...120]=7260, running on CPU=3
2025-03-27T14:52:46.988049-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=121, sum[0...121]=7381, running on CPU=3
2025-03-27T14:52:47.597881-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=122, sum[0...122]=7503, running on CPU=3
2025-03-27T14:52:48.161969-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=123, sum[0...123]=7626, running on CPU=3
2025-03-27T14:52:48.781280-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=124, sum[0...124]=7750, running on CPU=3
2025-03-27T14:52:49.408432-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=125, sum[0...125]=7875, running on CPU=3
2025-03-27T14:52:49.986428-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=126, sum[0...126]=8001, running on CPU=3
2025-03-27T14:52:50.617798-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=127, sum[0...127]=8128, running on CPU=3
